2,145694868,2011-10-20 03:28:54,Hoy definitivamente noche para la risa en #twitter
2,36547354,2011-10-19 10:59:38,RT @pimentacom : #CPqD e #Microsoft testam opção para banda larga . Leia matéria que foi destaque no Brasil Econômico : http://t.co/wImxVTlB
2,193359699,2011-10-19 02:56:10,Tipp : kostenlose SEO-Infos http://t.co/1ayEKV6F #google
2,16162693,2011-10-18 00:37:00,"Yeah , there's no @apple twitter account ."
-1,49595009,2011-10-19 21:53:52,"When #Microsoft "" violated U.S. antitrust laws "" — leaving #Netscape out of business & #Novell wounded — it played "" dumb "" . http://t.co/0WHHmAK4"
2,286975476,2011-10-19 21:38:15,#Microsoft Boxes Up Two New Xbox 360 Holiday Bundles : With the holiday season just around the … http://t.co/cHyXxdI2
2,11545,2011-10-19 19:30:03,#Microsoft en el futuro : Kinect y su tecnología avanzada http://t.co/kjiGyuFr
2,353484035,2011-10-20 03:58:58,@adrianosabino2 Maagiina amoor ! Tavaa #Off esses diias akii noo #Twitter meesmoo ! fiica triste cmg naaum taa ?
1,66243806,2011-10-19 03:01:04,iPhone users find the nearest trash for your device it's the correct place ! #Android #Apple #Google #iPhone
2,72450263,2011-10-19 04:47:34,"Para todos los androides , he aquí la nueva bestia de #Google ! El #GalaxyNexus http://t.co/oUTER1n4"
2,365322489,2011-10-19 07:34:40,Microsoft desarrolla una pantalla táctil proyectada sobre cualquier superficie http://t.co/Mg0iFSAo #microsoft #tecnologia #tic #omnitouch
1,179526726,2011-10-18 15:13:40,"When you want something done right , you do it yourself ... or go to @Apple . AT&T you're useless these days . #yourdaysarenumbered "
2,252646483,2011-10-20 02:52:37,It's almost 4:20 . Where is your bong ? Is it packed ! Let's rip a bowl over the time space continuum that is #Twitter
-1,103033210,2011-10-19 22:40:04,#Update #Microsoft MS11-078 - Critical : Vulnerability in . NET Framework and Microsoft Silverlight Could Allow R ... http://t.co/izO0WUNt
2,331008791,2011-10-19 17:05:05,$4.5 B #Nortel #IP Deal Still Under #DOJ Review : #Microsoft Exec ( via @IPLaw360 ) http://t.co/DGIkwyoi #in
2,153366442,2011-10-19 02:55:37,Android Beam : Compartilhamentovia NFC #icecreamsandwich #galaxynexus #google #samsung
2,369791959,2011-10-20 04:28:28,got my blade for these #twitter streets third shift
2,15051358,2011-10-19 05:02:20,"Hace tiempo :: Según Microsoft , Firefox es spyware http://t.co/UnFkqPaJ #Firefox #Microsoft"
2,43034739,2011-10-20 03:19:24,groupies follow me like #twitter ..... lol jk
2,23328904,2011-10-19 03:13:39,Virage Success Story - Harvard Business School pdf ebook : http://t.co/dNpFlXxB #google
2,320394131,2011-10-19 18:36:02,#Microsoft Excel Tips : How To Alternate the Color Between Rows #tips http://t.co/WJWREFjJ
2,15306510,2011-10-17 10:20:38,OK @apple your accessories policy is out of hand . I need a powered line in to use the mic ? Are you KIDDING ME ?
2,20254323,2011-10-15 16:21:01,"@notleifgarrett @apple wished their on hold music played "" Pictures of You "" ."
2,199843649,2011-10-18 03:44:42,POLL : http://t.co/9q2Er1w9 Q : R U pissed @Apple banned this video ? #Apple #iPhone4S #Siri #F8ball
2,76246911,2011-10-20 04:14:23,Acaso #twitter muestra la mayor parte de lo que pensamos ???
1,7571902,2011-10-18 03:41:23,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
2,216131815,2011-10-19 21:58:31,[ HighTech ] Microsoft PocketTouch - Multitouch Através de Tecido http://t.co/eLqI5VAB #touch #pockettouch #microsoft
1,30599817,2011-10-19 03:20:14,"Just seen a taste of #Google's ice cream sandwich , now I want a bite"
2,284434527,2011-10-20 03:18:35,Some users are reporting problems with missing mentions . More info from #Twitter : http://t.co/dTQ23G5G
-1,351123709,2011-10-18 04:31:07,@apple #iOS . 5 has been nothing but a pain in the ass no room for my music .. Or photos .. Or apps ! Can I undo this garbage ??
2,50083167,2011-10-17 18:42:02,Lekkere garantie volgens #radar bij @apple . #Ned1
2,53903605,2011-10-19 14:16:19,Ballmer On Not Buying Yahoo : http://t.co/ypM4GXf9 #Microsoft #Yahoo #Skype #Xbox #Google #Bing #Ballmer
-1,64404239,2011-10-16 19:08:18,@NoVaTyler @apple Most of mine are gone too ! Not recovered after I saved them b4 I upgraded my iPhone ! Soooo pissed !
2,15897465,2011-10-19 16:56:52,RT @calvinnieh : Learn how to keep Microsoft #Exchange costs low today at 11am Pacific . Win with #Microsoft and #NetApp Webcast @ http :/ ...
2,223344460,2011-10-20 04:10:01,#fuckyoumean #Pittsburgh don't got the best #twitter .
2,87872015,2011-10-19 04:56:03,How to use Google Alerts to ... http://t.co/crMAaAGQ #seo #search #google #hack #sem #it #business #web #marketing #online #yes #hot #winning
2,290302342,2011-10-20 03:49:00,Put your twitter on autopilot and let it gain followers for you !! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 23
2,16426739,2011-10-19 19:26:21,Microsoft wants to transform your hand into a touchscreen : http://t.co/Gwi35vtP @TechFlash #microsoft #omnitouch
2,108425518,2011-10-20 04:16:41,lo mejor del #twitter es que ahora ya puedes darle el #pesame a tus #artistas desde tu celularrrrrrr !! #sarcasmo
1,293502393,2011-10-19 03:03:30,"I'm an iOs user but the #ICS is awesome , great job #google"
1,138703311,2011-10-17 18:20:38,"Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing , because you are doing it well ! http://t.co/ZZc6bE0w"
-1,73254800,2011-10-15 18:30:01,90 minutes after being at 100% my iPhone 4 ( post #ios5 upgrade ) has lost 40% of its charge and the @apple store folks are out of ideas .
2,32128372,2011-10-19 16:41:06,Check out this great Blog w/ Tips from #YouSendIt - what 2 Consider When Migrating 2 #Microsoft Exchange 2010 http://t.co/eeF3780B @YSI
-1,14470019,2011-10-19 16:11:56,RT @EA_Jorge : I'm on day 80-something of my Xbox LIVE acct being hacked . This is worse than PSN hack . Will I ever get it back ? #Microsof ...
2,206321676,2011-10-19 09:21:11,SeNews : Microsoft extends revenue guarantees to Yahoo #Yahoo #Microsoft : http://t.co/bR3MHHVg
2,18757373,2011-10-19 03:01:48,RT @HPC_Guru : LINQ to #HPC : #Microsoft closes in on delivering its own #Hadoop competitor http://t.co/rsRmJPob #dryad #BigData via @mary ...
2,244306299,2011-10-20 03:50:11,#Twitter off mii voii ..!!
2,5149311,2011-10-19 10:24:31,"Great , now #Skype is a part of #Microsoft stack http://t.co/vZfUv9OI ."
2,282430094,2011-10-19 11:03:11,@cloudnewsindia New Version of #Cloud InTune is Available : Posted on #Windows 7 News ... #Microsoft has just .. http://bit.ly/pY0hlZ
-1,47628047,2011-10-15 20:13:09,@apple thanks apple for ios 5 and losing all my contacts !
2,190526988,2011-10-20 03:30:46,#Twitter to Reformat All URLs With T.co http://t.co/WQh2pHEA
-1,19001300,2011-10-15 22:46:29,"Wow , worst @apple customer service experience ever . Arrogant and inept . Bad combo , Biltmore Apple store ."
2,79187514,2011-10-19 13:21:15,#Silver & #GOLD #Apple tumbles no matter how many sold #Microsoft buys them 4 a nice price so get in there show #justsayin #Droid rules inend
2,330218819,2011-10-19 11:07:57,"#HEUTE - #Microsoft #Office #2010 Home & Student Product Key Card [ 1 User ] - statt 149€ nur 89 , 99€ - http://t.co/YLlITFAt"
2,362610540,2011-10-19 17:46:40,RT @The_Victor2 HoloDesk : #Microsoft unveils technology that's one step closer to human/digital interaction . http://t.co/oP379ycF #hardware
2,36880462,2011-10-19 04:18:18,Discover #Keywords & #Business Critical Information to be No 1 on #Google read aspenIbiz #blog post http://t.co/Rotiieo0
2,117668927,2011-10-20 03:16:41,Hasta el puto #Twitter me esta cagando ¬¬'
2,194466648,2011-10-19 05:21:46,Поиск от #Google станет еще безопаснее http://t.co/Hmo2qDKO
2,23782326,2011-10-19 16:30:56,@DaniWeb MS business intelligence development studio . Where u create SSRS reports and SSIS packages . Wonderful world of #microsoft :)
-1,45089208,2011-10-18 21:11:24,The one #iphone feature still missing since @apple first showed it .. Contacts pictures on the contacts list ! Simple yet 5 major updates miss
2,21468589,2011-10-19 04:47:59,#Google eBook : The way we shop is changing and marketing strategies are simply not keeping pace . http://t.co/vJBBjWhE
-1,56458526,2011-10-19 02:36:26,RT @RoycinD : Face Unlock ! #ICS Literally knows your face ! #Google #galaxynexus FAILED !
2,107240086,2011-10-19 03:53:07,siento mas interesante el #google + que el #face xD
2,111967837,2011-10-15 12:56:23,@tvnewschick @apple Oh no ! Why not ?! I want it to be love-love-love ! It's a lot of dough to spend otherwise ...
